#@ TextLoader{
#@   header+
#@   sep=tab
#@   col=ProductID:TX:0
#@   col=UnitPrice:R4:1
#@   col=Quantity:R4:2
#@   col=PayFullPrice:BL:3
#@ }
ProductID	UnitPrice	Quantity	PayFullPrice
11	14	12	1
42	9.8	10	1
72	34.8	5	1
14	18.6	9	1
51	42.4	40	1
41	7.7	10	1
51	42.4	35	0
65	16.8	15	0
22	16.8	6	0
57	15.6	15	0
65	16.8	20	1
20	64.8	40	0
33	2	25	0
60	27.2	40	1
31	10	20	1
39	14.4	42	1
49	16	40	1
24	3.6	15	0
55	19.2	21	0
74	8	21	1
2	15.2	20	1
16	13.9	35	1
36	15.2	25	1
59	44	30	1
53	26.2	15	1
77	10.4	12	1
27	35.1	25	1
39	14.4	6	1
77	10.4	15	1
2	15.2	50	0
5	17	65	0
32	25.6	6	0
21	8	10	1
37	20.8	1	1
41	7.7	16	0
57	15.6	50	1
62	39.4	15	0
70	12	21	0
21	8	20	1
35	14.4	20	1
5	17	12	0
7	24	15	1
56	30.4	2	1
16	13.9	60	0
24	3.6	28	1
30	20.7	60	0
74	8	36	0
2	15.2	35	1
41	7.7	25	0
17	31.2	30	1
70	12	20	1
12	30.4	12	0
40	14.7	50	1
59	44	70	0
76	14.4	15	0
29	99	10	1
72	27.8	4	1
33	2	60	0
72	27.8	20	0
36	15.2	30	1
43	36.8	25	1
33	2	24	1
20	64.8	6	1
31	10	40	1
72	27.8	24	1
10	24.8	24	0
31	10	15	0
33	2	20	1
40	14.7	60	0
76	14.4	33	0
71	17.2	20	1
72	27.8	7	1
24	3.6	12	0
59	44	6	0
10	24.8	15	1
13	4.8	10	1
28	36.4	20	1
62	39.4	12	1
44	15.5	16	1
59	44	15	1
63	35.1	8	1
73	12	25	1
17	31.2	15	0
24	3.6	12	1
55	19.2	20	1
75	6.2	30	1
19	7.3	1	1
24	3.6	6	1
35	14.4	4	1
30	20.7	6	1
57	15.6	2	1
15	12.4	20	1
19	7.3	18	1
60	27.2	35	1
72	27.8	3	1
27	35.1	15	0
44	15.5	21	1
60	27.2	20	0
67	11.2	5	0
1	14.4	45	0
40	14.7	40	0
53	26.2	36	0
35	14.4	100	1
62	39.4	40	1
16	13.9	40	0
34	11.2	20	1
46	9.6	15	0
54	5.9	10	0
68	10	3	0
3	8	30	1
64	26.6	9	1
5	17	20	1
29	99	15	1
49	16	15	1
77	10.4	10	1
13	4.8	20	0
44	15.5	24	0
